epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5998,0.74327,2.80971,1.32926,0.00333,1,0.995,0.90145,0.32887,2.84966,0.92578,0.00018,0.00018,0.00018
2,142.275,0.36127,1.47183,0.98212,1,0.91003,0.995,0.83554,0.50092,2.81907,1.14678,0.00034238,0.00034238,0.00034238
3,209.818,0.31094,1.24418,0.92956,0.9983,1,0.995,0.92178,0.36297,2.41134,0.92122,0.00046516,0.00046516,0.00046516
4,277.142,0.30959,1.13666,0.93395,1,0.96957,0.995,0.93549,0.35999,2.54745,0.91505,0.00054834,0.00054834,0.00054834
5,344.93,0.30357,1.06306,0.9303,0.99408,1,0.995,0.94609,0.35944,2.24675,0.93236,0.00059192,0.00059192,0.00059192
6,413.99,0.30344,0.97875,0.92267,0.99062,1,0.995,0.94414,0.31083,1.94995,0.87637,0.0005959,0.0005959,0.0005959
7,482.473,0.27851,0.92048,0.90339,0.99249,1,0.995,0.95587,0.2909,1.77341,0.82808,0.00056028,0.00056028,0.00056028
8,549.421,0.24157,0.83627,0.87535,0.99522,1,0.995,0.98853,0.2253,1.46644,0.77895,0.00048506,0.00048506,0.00048506
9,616.661,0.25983,0.8386,0.87615,0.99805,1,0.995,0.995,0.21631,1.19867,0.77751,0.00037024,0.00037024,0.00037024
10,684.15,0.22008,0.80651,0.86588,0.99792,1,0.995,0.995,0.23483,1.05983,0.78418,0.00021582,0.00021582,0.00021582
