epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94571,1.4116,2.81417,1.75477,0.61343,0.88258,0.8879,0.6156,1.39334,1.32811,1.25125,0,0,0
2,5.6156,1.24866,2.62006,1.44082,0.59677,0.89748,0.88811,0.61799,1.40529,1.35185,1.25737,9.9365e-07,9.9365e-07,9.9365e-07
3,8.25559,1.14179,4.2181,1.49524,0.57925,0.83333,0.87396,0.61303,1.42034,1.38351,1.26386,1.5946e-06,1.5946e-06,1.5946e-06
4,11.0248,1.26958,2.67297,1.45163,0.54594,0.85491,0.87199,0.60506,1.45422,1.41627,1.2788,1.80285e-06,1.80285e-06,1.80285e-06
5,13.5463,1.33844,2.8871,1.63423,0.5708,0.83333,0.87226,0.59729,1.48164,1.44976,1.29479,1.6184e-06,1.6184e-06,1.6184e-06
6,16.3879,1.64138,4.73939,1.9296,0.85404,0.57368,0.87407,0.58055,1.49209,1.50531,1.30817,1.04125e-06,1.04125e-06,1.04125e-06
