epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12877,1.4116,2.81417,1.75477,0.61343,0.88258,0.8879,0.6156,1.39334,1.32811,1.25125,0,0,0
2,5.87232,1.24866,2.62006,1.44082,0.59673,0.89738,0.88811,0.61799,1.40524,1.35193,1.25738,1.14288e-06,1.14288e-06,1.14288e-06
3,8.49808,1.1416,4.21674,1.49518,0.5791,0.83333,0.87397,0.61303,1.42014,1.384,1.264,2.1915e-06,2.1915e-06,2.1915e-06
4,11.2498,1.26669,2.66857,1.44978,0.5458,0.85512,0.87205,0.60506,1.45437,1.41844,1.27956,3.14588e-06,3.14588e-06,3.14588e-06
5,13.8174,1.33673,2.86148,1.63128,0.57011,0.83333,0.87216,0.59728,1.48111,1.45252,1.29604,4.00602e-06,4.00602e-06,4.00602e-06
6,16.4526,1.63357,4.71497,1.9249,0.85387,0.57292,0.874,0.58054,1.49198,1.50754,1.31058,4.7719e-06,4.7719e-06,4.7719e-06
7,19.0395,1.39382,2.0919,1.55116,0.83779,0.56667,0.88594,0.57903,1.50504,1.55039,1.31925,5.44354e-06,5.44354e-06,5.44354e-06
8,21.8607,1.52277,3.19691,1.79128,0.83493,0.56667,0.8823,0.55515,1.51948,1.62521,1.34205,6.02092e-06,6.02092e-06,6.02092e-06
9,24.5446,1.08699,2.62303,1.36215,0.81783,0.56667,0.77958,0.54668,1.54586,1.68817,1.36051,6.50406e-06,6.50406e-06,6.50406e-06
10,27.1867,0.98278,3.39612,1.50012,0.79758,0.56667,0.74403,0.51788,1.56178,1.73844,1.3782,6.89296e-06,6.89296e-06,6.89296e-06
11,29.7147,1.37662,2.81701,1.56199,0.80033,0.58237,0.74429,0.51792,1.56218,1.75276,1.3774,7.1876e-06,7.1876e-06,7.1876e-06
12,32.3501,1.03788,2.11096,1.39839,0.78765,0.58333,0.74424,0.51796,1.5684,1.76753,1.38318,7.388e-06,7.388e-06,7.388e-06
13,34.9327,0.99613,2.67972,1.24996,0.76844,0.58333,0.74297,0.52603,1.55653,1.78184,1.37576,7.49414e-06,7.49414e-06,7.49414e-06
14,37.5597,1.42089,2.55443,1.83414,0.74965,0.58333,0.74296,0.51716,1.53987,1.80921,1.36589,7.50604e-06,7.50604e-06,7.50604e-06
15,40.1664,0.81932,1.81953,1.122,0.76864,0.58333,0.74298,0.52544,1.53954,1.82593,1.36238,7.4237e-06,7.4237e-06,7.4237e-06
16,42.72,0.80458,1.28677,1.12834,0.77786,0.58333,0.74154,0.53922,1.5421,1.84021,1.36191,7.2471e-06,7.2471e-06,7.2471e-06
17,45.283,0.81636,1.53441,1.12082,0.80246,0.41667,0.74254,0.55593,1.54723,1.86372,1.36319,6.97626e-06,6.97626e-06,6.97626e-06
18,47.7918,0.92391,1.85446,1.35965,0.80246,0.41667,0.74254,0.55593,1.54723,1.86372,1.36319,6.61116e-06,6.61116e-06,6.61116e-06
19,50.4499,0.92386,2.30707,1.39249,0.9431,0.37427,0.74243,0.5561,1.5565,1.9143,1.3697,6.15182e-06,6.15182e-06,6.15182e-06
20,52.9651,1.23247,2.43059,1.60903,0.9431,0.37427,0.74243,0.5561,1.5565,1.9143,1.3697,5.59824e-06,5.59824e-06,5.59824e-06
21,55.5297,0.97508,1.73752,1.48797,0.93653,0.37403,0.65948,0.4857,1.56097,1.99294,1.35635,4.9504e-06,4.9504e-06,4.9504e-06
22,58.0333,0.90485,1.27387,1.17462,0.93653,0.37403,0.65948,0.4857,1.56097,1.99294,1.35635,4.20832e-06,4.20832e-06,4.20832e-06
23,60.6165,0.90302,1.45824,1.20911,0.94495,0.38,0.61821,0.47729,1.56909,2.00158,1.3563,3.37198e-06,3.37198e-06,3.37198e-06
24,63.1472,0.91332,2.01899,1.302,0.94495,0.38,0.61821,0.47729,1.56909,2.00158,1.3563,2.4414e-06,2.4414e-06,2.4414e-06
25,65.7261,0.82025,1.09,1.16213,0.94605,0.38271,0.61825,0.47153,1.5794,2.04739,1.36883,1.41658e-06,1.41658e-06,1.41658e-06
