epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.318,0.77322,2.26719,1.2994,0.00333,1,0.995,0.874,0.45455,2.79247,0.99479,0.00018,0.00018,0.00018
2,236.966,0.52491,1.12566,1.07259,0.99556,1,0.995,0.90893,0.47278,2.52911,1.03663,0.00035492,0.00035492,0.00035492
3,306.82,0.55225,1.02736,1.10865,1,0.98231,0.995,0.91455,0.45869,2.07002,1.04183,0.00050344,0.00050344,0.00050344
4,18430.2,0.54124,0.96492,1.11586,0.98799,0.82759,0.8253,0.6899,0.62472,2.34811,1.20366,0.00062556,0.00062556,0.00062556
5,18542.1,0.53424,0.90804,1.07293,1,0.9987,0.995,0.85662,0.49089,1.86776,1.04436,0.00072128,0.00072128,0.00072128
6,18612.2,0.37724,1.18591,1.00674,1,0.99977,0.995,0.94472,0.34388,2.12738,0.88716,0.0007906,0.0007906,0.0007906
7,18678,0.33273,1.11155,0.94763,0.99746,1,0.995,0.92824,0.38704,1.4814,0.93656,0.00083352,0.00083352,0.00083352
