epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4844,0.77386,2.2672,1.29946,0.00333,1,0.995,0.8745,0.46132,2.79527,1.00132,0.00018,0.00018,0.00018
2,139.214,0.51471,1.12602,1.06883,0.9999,1,0.995,0.91781,0.38648,2.5872,0.91018,0.0003173,0.0003173,0.0003173
3,208.809,0.51686,0.99055,1.09182,1,0.91933,0.995,0.95644,0.33543,2.26228,0.89838,0.0003886,0.0003886,0.0003886
4,278.909,0.52567,0.94979,1.09868,0.99213,1,0.995,0.8499,0.49411,2.20526,1.02528,0.0003939,0.0003939,0.0003939
5,352.697,0.4908,0.88874,1.06666,0.9937,1,0.995,0.97508,0.2954,2.04775,0.83739,0.0003332,0.0003332,0.0003332
6,424.184,0.42472,0.80861,1.02631,0.99754,1,0.995,0.96389,0.30859,1.58006,0.84811,0.0002065,0.0002065,0.0002065
