epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,96.9777,0.9465,1.09293,1.26857,0.91923,0.37324,0.46755,0.3401,1.67184,2.28938,1.49368,2.64405e-05,2.64405e-05,2.64405e-05
35,99.7407,0.94426,1.90912,1.30466,0.91561,0.37303,0.45402,0.31959,1.68814,2.29508,1.5074,2.68412e-05,2.68412e-05,2.68412e-05
36,102.238,0.80194,1.41795,1.20537,0.91561,0.37303,0.45402,0.31959,1.68814,2.29508,1.5074,2.72183e-05,2.72183e-05,2.72183e-05
37,104.793,0.72534,1.24637,1.13863,0.91887,0.37297,0.45406,0.3365,1.69422,2.31848,1.52034,2.75718e-05,2.75718e-05,2.75718e-05
38,107.26,0.447,0.9224,0.95134,0.91887,0.37297,0.45406,0.3365,1.69422,2.31848,1.52034,2.79018e-05,2.79018e-05,2.79018e-05
39,109.809,0.79231,0.87635,1.08443,0.91866,0.37303,0.45252,0.33626,1.68906,2.35018,1.50973,2.82082e-05,2.82082e-05,2.82082e-05
40,112.292,0.65262,0.755,1.06078,0.91866,0.37303,0.45252,0.33626,1.68906,2.35018,1.50973,2.84911e-05,2.84911e-05,2.84911e-05
41,114.814,0.67064,0.89722,1.01461,0.92241,0.37292,0.4522,0.3364,1.70204,2.37703,1.51465,2.87504e-05,2.87504e-05,2.87504e-05
42,117.532,0.54874,1.54582,1.04094,0.92241,0.37292,0.4522,0.3364,1.70204,2.37703,1.51465,2.89861e-05,2.89861e-05,2.89861e-05
43,120.257,1.04091,1.3179,1.31865,0.94065,0.38889,0.45866,0.3398,1.70776,2.37636,1.52154,2.91983e-05,2.91983e-05,2.91983e-05
